"URL","Name","Model","Generation","Year","Mileage","Price"
"https://999.md/ro/103113280","Renault","Megane","III (2008 - 2016)",2014,218235,7499
"https://999.md/ro/86027611","Renault","Megane","III (2008 - 2016)",2014,194970,8399
"https://999.md/ro/101657547","Renault","Megane","III (2008 - 2016)",2016,174000,5990
"https://999.md/ro/89761094","Renault","Megane","III (2008 - 2016)",2011,307960,5499
"https://999.md/ro/103157691","Renault","Megane","III (2008 - 2016)",2016,153000,7200
"https://999.md/ro/103311329","Renault","Megane","III (2008 - 2016)",2016,213000,8300
"https://999.md/ro/103305508","Renault","Megane","III (2008 - 2016)",2011,139000,5999
"https://999.md/ro/102746008","Renault","Megane","III (2008 - 2016)",2014,192952,6990
"https://999.md/ro/89191656","Renault","Megane","III (2008 - 2016)",2012,302000,5550
"https://999.md/ro/101992371","Renault","Megane","III (2008 - 2016)",2016,190000,6999
"https://999.md/ro/11917174?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3Njk1NDk1MDAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjo2NTgsInoiOjY1OSwiYSI6IjExOTE3MTc0IiwiaSI6IjkyLjExNC4yMjcuNjUiLCJzIjoiZGVza3RvcCIsInAiOiJhZHNfbGlzdF9pbmxpbmUiLCJ4IjoicHJlbWl1bSIsImwiOiJmODdhNjFhOC03MjNjLTQ3ZjUtODY5NC02ZGExMTYxMjExMjAiLCJlIjoiOTIuMTE0LjIyNy42NSIsInQiOiIyMDI2LTAxLTI3VDIwOjMxOjQwLjA2MjUxMDI5MVoifX0.OrLftjmaQspYViUs-Zk48y4nPcwS_zu6FLUGclCEpCM&adType=booster","Ford","Mondeo","V (2014 - 2022)",2017,1500,9990
"https://999.md/ro/101617876","Renault","Megane","III (2008 - 2016)",2015,182000,7800
"https://999.md/ro/88902512","Renault","Megane","III (2008 - 2016)",2011,220000,5900
"https://999.md/ro/103226718","Renault","Megane","III (2008 - 2016)",2013,330000,6800
"https://999.md/ro/103111482","Renault","Megane","III (2008 - 2016)",2013,206000,6850
"https://999.md/ro/101080702","Renault","Megane","III (2008 - 2016)",2014,170000,6900
"https://999.md/ro/103362126","Renault","Megane","III (2008 - 2016)",2014,220000,7600
"https://999.md/ro/102933590","Renault","Megane","III (2008 - 2016)",2014,229000,6752
"https://999.md/ro/103248758","Renault","Megane","III (2008 - 2016)",2012,202000,5500
"https://999.md/ro/103271625","Renault","Megane","III (2008 - 2016)",2016,286000,7990
